row,product_code
1,1000203
2,1000229
3,1000232
4,1000284
5,1000463
6,1000480
7,1000540
8,1000618
9,1000626
10,1000665
11,1000666
12,1000673
13,1000688
14,1000778
15,1000799
16,1000805
17,1000818
18,1000909
19,1000990
20,1001009
21,1001040
22,1001044
23,1001048
24,1001061
25,1001145
26,1001397
27,1001574
28,1001602
29,1001603
30,1001609
31,1001619
32,1001651
33,1001688
34,1001689
35,1001832
36,1001834
37,1001893
38,1002111
39,1002129
40,1002198
41,1002205
42,1002213
43,1002221
44,1002258
45,1002331
46,1002696
47,1002844
48,1003293
49,1003299
50,1003300
51,1003301
52,1003304
53,1003305
54,1003317
55,1003320
56,1003327
57,1003331
58,1003371
59,1003419
60,1003475
61,1003746
62,1003893
63,1004023
64,1004123
65,1004291
66,1004669
67,1004680
68,1004826
69,1004907
70,1004972
71,1005104
72,1005176
73,1005209
74,1005215
75,1005231
76,1005281
77,1005303
78,1005404
79,1005472
80,1005558
81,1005634
82,1005636
83,1005739
84,1005777
85,1005900
86,1005956
87,1005976
88,1005977
89,1006021
90,1006210
91,1006233
92,1006236
93,1006251
94,1006260
95,1006336
96,1006427
97,1006513
98,1007021
99,1007175
100,1007258
101,1007664
102,1007665
103,1007694
104,1007695
105,1007697
106,1007762
107,1007767
108,1007792
109,1007820
110,1007828
111,1007855
112,1007865
113,1007888
114,1007889
115,1008353
116,1009401
117,1009409
118,1009607
119,1019081
120,1019218
121,1019267
122,1019407
123,1019506
124,1019507
125,1019557
126,1019595
127,1019674
128,1019686
129,1019708
130,1019759
131,1019776
132,1019778
133,1019795
134,1019796
135,1019810
136,1019817
137,1019818
138,1019828
139,1019831
140,1019836
141,1019841
142,1019843
143,1019860
144,1019867
145,1019881
146,1019899
147,1019940
148,1019970
149,1019993
150,1020046
151,1020062
152,1020092
153,1020093
154,1020101
155,1020121
156,1020145
157,1020149
158,1020181
159,1020197
160,1020204
161,1020205
162,1020209
163,1020213
164,1020236
165,1020267
166,1020342
167,1020370
168,1020397
169,1020490
170,1020564
171,1020577
172,1020591
173,1020606
174,1020636
175,1020641
176,1020646
177,1020653
178,1020706
179,1020707
180,1020708
181,1020709
182,1020716
183,1020806
184,1020853
185,1020931
186,1020933
187,1020943
188,1020944
