row,product_code
654,1049443
655,1049472
656,1049687
657,1049896
658,1050039
659,1050066
660,1050114
661,1050115
662,1050116
663,1050127
664,1050146
665,1050171
666,1050237
667,1050254
668,1050286
669,1050287
670,1050466
671,1050467
672,1050468
673,1050469
674,1050497
675,1058689
676,1062050
677,1062051
678,1062066
679,1076607
680,1076859
681,1076946
682,1077014
683,1077021
684,1077792
685,1077915
686,1077916
687,1077918
688,1077919
689,1078070
690,1078150
691,1078358
692,1078547
693,1078843
694,1079321
695,1079351
696,1079428
697,1079445
698,1079454
699,1079656
700,1079657
701,1079662
702,1079671
703,1079686
704,1079705
705,1079717
706,1079733
707,1079918
708,1079941
709,1081399
710,1081427
711,1081589
712,1081668
713,1081802
714,1081868
715,1081924
716,1082260
717,1082868
718,1082905
719,1082948
720,1083379
721,1083422
722,1083608
723,1083615
724,1083916
725,1083978
726,1084020
727,1084061
728,1084071
729,1084134
730,1084315
731,1084580
732,1084728
733,1084730
734,1084790
735,1084794
736,1084857
737,1084962
738,1085024
739,1085162
740,1085411
741,1086559
742,1086562
743,1086563
744,1086564
745,1086610
746,1086643
747,1086777
748,1086813
749,1086830
750,1086997
751,1087038
752,1087040
753,1087045
754,1087048
755,1087053
756,1087193
757,1087195
758,1087212
759,1087390
760,1087428
761,1087482
762,1087495
763,1087500
764,1087745
765,1087759
766,1087760
767,1087763
768,1087774
769,1087790
770,1087818
771,1087823
772,1087825
773,1087826
774,1087829
775,1087853
776,1087893
777,1087901
778,1087979
779,1087984
780,1088168
781,1088602
782,1089319
783,1089470
784,1089478
785,1089509
786,1089627
787,1089654
788,1089684
789,1089742
790,1089916
791,1090062
792,1090206
793,1090432
794,1090531
795,1090692
796,1090763
797,1091042
798,1091044
799,1091075
800,1091076
801,1091149
802,1091376
803,1092041
804,1092167
805,1092190
806,1092573
807,1092574
808,1092579
809,1092670
810,1092671
811,1093313
812,1093346
813,1093347
814,1093545
815,1093596
816,1093598
817,1093625
818,1093693
819,1093821
820,1093822
821,1093837
822,1094024
823,1094063
824,1094116
825,1094323
826,1094340
827,1094491
828,1094562
829,1094630
830,1094634
831,1094638
832,1094639
833,1094690
834,1094696
835,1094791
836,1094813
837,1095048
838,1095110
839,1095141
840,1095172
841,1095173
842,1095387
843,1095416
844,1095752
845,1095883
846,1096008
847,1096026
848,1096617
849,1096770
850,1096850
851,1096933
852,1096934
853,1097204
854,1097206
855,1097241
856,1097404
857,1097623
858,1097646
859,1097696
860,1097717
861,1098164
862,1098172
863,1098415
864,1098428
865,1098598
866,1098605
867,1098611
868,1098879
869,1098910
870,1098911
871,1099037
872,1099173
873,1099212
874,1099221
875,1099544
876,1099776
877,1099781
878,1099808
879,1099885
880,1099902
881,1099922
882,1099937
883,1099956
884,1100345
885,1100365
886,1100385
887,1100443
888,1100538
889,1100785
890,1101063
891,1101064
892,1103572
893,1103580
894,1103838
895,1103924
896,1103930
897,1104325
898,1104366
899,1104379
900,1104396
901,1104624
902,1104732
903,1104766
904,1105057
905,1105080
906,1105085
907,1105091
908,1105104
909,1105738
910,1105847
911,1106448
912,1106605
913,1106620
914,1106625
915,1106626
916,1106628
917,1106653
918,1106659
919,1106676
920,1107059
921,1107553
922,1107724
923,1107830
924,1107985
925,1108034
926,1108345
927,1108620
928,1108660
929,1108661
930,1108689
931,1108693
932,1108694
933,1108695
934,1108699
935,1108700
936,1108703
937,1108705
938,1108706
939,1108734
940,1109397
941,1109460
942,1109473
943,1109510
944,1109776
945,1109778
946,1119703
947,1119712
948,1119716
949,1119729
950,1119733
951,1119738
952,1119742
953,1119744
954,1119751
955,1119764
956,1119766
957,1119774
958,1119783
959,1119785
960,1119789
961,1119793
962,1119795
963,1119803
964,1119809
965,1119899
966,1120219
967,1120647
